Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bGWO-XGBOOST,xgboost,v1,0.039274,0.046054,0.960333,0.048690,0.039667,0.048690,0.962500,0.065328,0.957619,0.079118,0.965063,0.063322,0.924852,0.092823,0.961445,0.047088,3.150000,1.313296,14.685243,1.113709
bHHO-XGBOOST,xgboost,v1,0.062528,0.059545,0.936095,0.062858,0.063905,0.062858,0.944821,0.083761,0.927381,0.093010,0.937421,0.078195,0.878235,0.121405,0.937749,0.061983,3.600000,1.239094,25.045361,1.934465
bJADE-XGBOOST,xgboost,v1,0.044283,0.045027,0.961190,0.047162,0.038810,0.047162,0.965536,0.072736,0.956905,0.077665,0.964127,0.063642,0.928062,0.086037,0.961689,0.047528,14.680000,4.909031,26.193010,1.326915
bLRRIME-XGBOOST,xgboost,v1,0.030491,0.039762,0.970143,0.041946,0.029857,0.041946,0.973571,0.054936,0.966905,0.064200,0.971230,0.055417,0.943326,0.080411,0.970809,0.041135,4.210000,1.991370,20.316829,1.520049
bPSO-XGBOOST,xgboost,v1,0.040798,0.047850,0.962333,0.050086,0.037667,0.050086,0.960714,0.077360,0.963810,0.069311,0.968849,0.059103,0.929322,0.094504,0.962136,0.051686,9.930000,6.367936,26.648444,3.115142
bRIME-XGBOOST,xgboost,v1,0.039250,0.052078,0.960524,0.055024,0.039476,0.055024,0.961429,0.075195,0.959286,0.075543,0.965579,0.062335,0.924852,0.105727,0.961123,0.054820,3.460000,1.466253,14.534516,1.097041
bSADE-XGBOOST,xgboost,v1,0.042866,0.048835,0.961571,0.051101,0.038429,0.051101,0.963393,0.065372,0.959762,0.079199,0.965635,0.066459,0.927397,0.097228,0.962221,0.049900,12.590000,4.932053,25.471474,1.340434
bSHADE-XGBOOST,xgboost,v1,0.040246,0.046949,0.965333,0.049483,0.034667,0.049483,0.963750,0.064831,0.966667,0.073600,0.972187,0.060536,0.934188,0.095072,0.965952,0.048106,14.480000,5.679095,26.043239,1.312818
