Algorithm,Accuracy (Mean±Std),Precision (Mean±Std),Recall (Mean±Std),F1 (Mean±Std),Specificity (Mean±Std),ROC_AUC (Mean±Std)
bLRRIME-XGBOOST,0.9610±0.0455,0.9618±0.0617,0.9670±0.0651,0.9620±0.0451,0.9550±0.0734,0.9550±0.0590
XGBOOST,0.7130±0.1040,0.7309±0.1212,0.7218±0.1602,0.7149±0.1107,0.7036±0.1633,0.7934±0.1037
