Algorithm,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,F1_mean,F1_std,F1_min,F1_max,Specificity_mean,Specificity_std,Specificity_min,Specificity_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,NumFeatures_mean,NumFeatures_std,NumFeatures_min,NumFeatures_max,Time_mean,Time_std,Time_min,Time_max
bLRRIME-XGBOOST,0.9723,0.039,0.8571,1.0,0.9703,0.0555,0.7778,1.0,0.9791,0.0501,0.8571,1.0,0.9731,0.0379,0.8571,1.0,0.9652,0.0655,0.7143,1.0,0.9589,0.0636,0.7347,1.0,4.06,2.0342,2,18,20.2472,1.7497,16.9494,26.698
bRIME-XGBOOST,0.9569,0.048,0.7857,1.0,0.959,0.0656,0.75,1.0,0.9621,0.0659,0.7143,1.0,0.9581,0.0468,0.8,1.0,0.9507,0.0802,0.7143,1.0,0.9455,0.0683,0.7143,1.0,3.48,1.3141,1,9,14.5946,1.083,11.4432,17.3789
bHHO-XGBOOST,0.9354,0.0702,0.6429,1.0,0.9407,0.0788,0.6667,1.0,0.9364,0.0957,0.5714,1.0,0.9356,0.0729,0.6154,1.0,0.9352,0.0851,0.7143,1.0,0.9276,0.0877,0.5816,1.0,3.8,4.5505,1,47,25.3446,3.6516,19.3485,55.5993
bGWO-XGBOOST,0.9652,0.0469,0.8571,1.0,0.9647,0.0621,0.7778,1.0,0.972,0.06,0.7143,1.0,0.9663,0.0457,0.8333,1.0,0.9579,0.0751,0.7143,1.0,0.9572,0.0643,0.7143,1.0,3.59,1.7701,1,13,15.2622,1.3969,11.4278,20.6108
bJADE-XGBOOST,0.9611,0.0515,0.8571,1.0,0.9683,0.062,0.7778,1.0,0.9598,0.0695,0.7143,1.0,0.9618,0.0505,0.8333,1.0,0.9619,0.0774,0.6667,1.0,0.951,0.0719,0.7347,1.0,14.37,5.7308,4,37,26.0971,1.327,22.0266,28.8701
bSADE-XGBOOST,0.9619,0.0525,0.7857,1.0,0.9647,0.0635,0.7778,1.0,0.9645,0.0715,0.7143,1.0,0.9624,0.0528,0.7692,1.0,0.9598,0.0738,0.7143,1.0,0.9535,0.0682,0.7143,1.0,13.15,5.4205,2,29,25.6119,1.3596,21.0214,28.5884
bSHADE-XGBOOST,0.9575,0.0523,0.7857,1.0,0.9622,0.0717,0.7,1.0,0.9605,0.0637,0.8571,1.0,0.9587,0.0495,0.8235,1.0,0.954,0.0908,0.5714,1.0,0.9386,0.0763,0.7347,1.0,13.67,5.5451,3,28,26.2455,1.3929,22.2422,30.501
