Algorithm,Accuracy (Mean±Std),Precision (Mean±Std),Recall (Mean±Std),F1 (Mean±Std),Specificity (Mean±Std),ROC_AUC (Mean±Std)
bLRRIME-XGBOOST,0.9701±0.0419,0.9712±0.0554,0.9736±0.0549,0.9708±0.0411,0.9669±0.0642,0.9605±0.0627
bRIME-XGBOOST,0.9605±0.0550,0.9656±0.0623,0.9614±0.0752,0.9611±0.0548,0.9593±0.0755,0.9506±0.0755
bHHO-XGBOOST,0.9361±0.0629,0.9374±0.0782,0.9448±0.0838,0.9377±0.0620,0.9274±0.0930,0.9229±0.0848
bGWO-XGBOOST,0.9603±0.0487,0.9651±0.0633,0.9625±0.0653,0.9614±0.0471,0.9576±0.0791,0.9579±0.0622
bJADE-XGBOOST,0.9612±0.0472,0.9641±0.0636,0.9655±0.0727,0.9617±0.0475,0.9569±0.0777,0.9467±0.0700
bSADE-XGBOOST,0.9616±0.0511,0.9656±0.0665,0.9634±0.0654,0.9622±0.0499,0.9598±0.0792,0.9506±0.0704
bSHADE-XGBOOST,0.9653±0.0495,0.9722±0.0605,0.9637±0.0648,0.9660±0.0481,0.9667±0.0736,0.9517±0.0776
bPSO-XGBOOST,0.9623±0.0501,0.9688±0.0591,0.9607±0.0774,0.9621±0.0517,0.9638±0.0693,0.9491±0.0686
