Algorithm,Accuracy_Mean,Accuracy_Std,Accuracy_Best,Precision_Mean,Precision_Std,Precision_Best,Recall_Mean,Recall_Std,Recall_Best,F1_Mean,F1_Std,F1_Best,Specificity_Mean,Specificity_Std,Specificity_Best,ROC_AUC_Mean,ROC_AUC_Std,ROC_AUC_Best,NumFeatures_Mean,NumFeatures_Std,NumFeatures_Best,Time_Mean,Time_Std,Time_Best
bLRRIME-XGBOOST,0.9701428571428573,0.04194614577280528,1.0,0.9712301587301587,0.05541688010699003,0.7777777777777778,0.9735714285714286,0.054935730144468606,0.8571428571428571,0.9708094699418228,0.04113519577180777,1.0,0.966904761904762,0.0642001461409233,0.7142857142857143,0.9604974489795919,0.06270605450101638,0.7346938775510204,4.21,1.991370270832513,1,20.316828875541688,1.5200488270733066,16.41460371017456
bRIME-XGBOOST,0.9605238095238096,0.055024445425249494,1.0,0.9655793650793651,0.06233454192667877,0.75,0.9614285714285714,0.07519472419727126,0.625,0.9611234827264239,0.054820170259588887,1.0,0.9592857142857144,0.07554250375342705,0.6666666666666666,0.9506313775510205,0.0755006842546601,0.71875,3.46,1.4662533852983903,1,14.534515762329102,1.0970412968500274,10.71241545677185
bHHO-XGBOOST,0.9360952380952382,0.06285823603054833,1.0,0.937420634920635,0.07819474400123061,0.75,0.9448214285714286,0.08376107753406777,0.7142857142857143,0.9377490303813834,0.06198319641575344,1.0,0.9273809523809523,0.0930099506115108,0.7142857142857143,0.9228911564625849,0.08481525320373091,0.673469387755102,3.6,1.239093836379447,1,25.04536076068878,1.9344653980941235,19.027642488479614
bPSO-XGBOOST,0.9623333333333335,0.05008568210010417,1.0,0.9688492063492063,0.05910311759723764,0.7777777777777778,0.9607142857142857,0.07736013706050021,0.7142857142857143,0.9621360698125404,0.05168595680093399,1.0,0.9638095238095238,0.06931125136624161,0.7142857142857143,0.9490518707482992,0.06863463562181868,0.7346938775510203,9.93,6.367935777047854,1,26.648443825244904,3.115142481279282,19.57437252998352
bGWO-XGBOOST,0.9603333333333335,0.048689530938913095,1.0,0.965063492063492,0.0633216287104076,0.7777777777777778,0.9625,0.0653284440890132,0.7142857142857143,0.9614449651655537,0.04708821460103709,1.0,0.9576190476190476,0.0791179413319193,0.6666666666666666,0.9579251700680272,0.062183833560246954,0.7551020408163265,3.15,1.313296415417127,1,14.685242512226104,1.1137091494257407,11.811877012252808
bJADE-XGBOOST,0.9611904761904762,0.047161704707241625,1.0,0.9641269841269842,0.06364199869106835,0.7777777777777778,0.9655357142857143,0.07273582796644965,0.625,0.9616888601594485,0.04752804946427412,1.0,0.9569047619047619,0.07766542227807754,0.7142857142857143,0.9466751700680271,0.06998421322127885,0.7551020408163266,14.68,4.909031050888338,6,26.19301032781601,1.326914840121188,21.89879012107849
bSADE-XGBOOST,0.9615714285714287,0.05110051156975686,1.0,0.9656349206349206,0.06645898329381254,0.75,0.9633928571428573,0.06537157127894394,0.7142857142857143,0.9622206421029952,0.049899535721627246,1.0,0.9597619047619048,0.07919859883945136,0.7142857142857143,0.9505527210884354,0.07042040765045328,0.7346938775510204,12.59,4.932053478537263,4,25.4714736700058,1.3404344208730832,21.672046422958374
bSHADE-XGBOOST,0.9653333333333335,0.049482907592382226,1.0,0.972186507936508,0.06053573323696211,0.75,0.96375,0.06483128882824811,0.7142857142857143,0.9659519679666739,0.04810591887277051,1.0,0.9666666666666667,0.07360014678964845,0.7142857142857143,0.9516666666666667,0.07757486239480592,0.6122448979591837,14.48,5.67909510504281,6,26.043238735198976,1.3128175026322175,22.86743402481079
