Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bGWO-XGBOOST,xgboost,v1,0.034837,0.044290,0.965238,0.046894,0.034762,0.046894,0.971964,0.059969,0.957857,0.075129,0.964702,0.062149,0.934193,0.089205,0.966295,0.045658,3.590000,1.770094,15.262221,1.396855
bHHO-XGBOOST,xgboost,v1,0.063262,0.066181,0.935429,0.070192,0.064571,0.070192,0.936429,0.095721,0.935238,0.085149,0.940718,0.078762,0.876122,0.137496,0.935606,0.072880,3.800000,4.550502,25.344626,3.651633
bJADE-XGBOOST,xgboost,v1,0.044217,0.049037,0.961095,0.051533,0.038905,0.051533,0.959821,0.069526,0.961905,0.077393,0.968302,0.061969,0.926070,0.098642,0.961797,0.050515,14.370000,5.730752,26.097147,1.326957
bLRRIME-XGBOOST,xgboost,v1,0.028334,0.036911,0.972333,0.038979,0.027667,0.038979,0.979107,0.050063,0.965238,0.065483,0.970337,0.055494,0.947758,0.073970,0.973103,0.037944,4.060000,2.034153,20.247175,1.749688
bRIME-XGBOOST,xgboost,v1,0.042698,0.045511,0.956905,0.048047,0.043095,0.048047,0.962143,0.065858,0.950714,0.080173,0.959036,0.065636,0.918394,0.091811,0.958055,0.046832,3.480000,1.314104,14.594640,1.083004
bSADE-XGBOOST,xgboost,v1,0.042877,0.050137,0.961857,0.052534,0.038143,0.052534,0.964464,0.071451,0.959762,0.073810,0.964742,0.063539,0.927935,0.100213,0.962373,0.052758,13.150000,5.420453,25.611938,1.359617
bSHADE-XGBOOST,xgboost,v1,0.047302,0.049693,0.957476,0.052332,0.042524,0.052332,0.960536,0.063670,0.954048,0.090822,0.962206,0.071716,0.920076,0.098088,0.958728,0.049456,13.670000,5.545141,26.245489,1.392915
