Algorithm,Accuracy,Precision,Recall,F1,Specificity,ROC_AUC,NumFeatures,Time
bLRRIME-KNN,1.0,1.0,1.0,1.0,1.0,1.0,4,1.535703420639038
bLRRIME-SVM,1.0,1.0,1.0,1.0,1.0,1.0,2,1.4726417064666748
bLRRIME-RF,1.0,1.0,1.0,1.0,1.0,1.0,2,86.58035802841187
bLRRIME-CART,1.0,1.0,1.0,1.0,1.0,1.0,4,1.9661216735839844
bLRRIME-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,3,18.9829261302948
bLRRIME-MLP,1.0,1.0,1.0,1.0,1.0,1.0,4,98.26730608940125
