Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bGWO-XGBOOST,xgboost,v1,0.035595,0.047551,0.964286,0.050508,0.035714,0.050508,0.957143,0.069007,0.971429,0.060234,0.973214,0.056626,0.931236,0.098992,0.963663,0.051081,3.300000,1.636392,14.955639,1.239522
bHHO-XGBOOST,xgboost,v1,0.048714,0.045428,0.950476,0.047998,0.049524,0.047998,0.932143,0.071824,0.971429,0.060234,0.973214,0.056626,0.905339,0.093954,0.950330,0.048195,3.300000,1.159502,25.024187,2.266719
bJADE-XGBOOST,xgboost,v1,0.054068,0.045428,0.950476,0.047998,0.049524,0.047998,0.944643,0.098331,0.957143,0.069007,0.963889,0.058267,0.908233,0.087299,0.949759,0.052964,13.900000,3.478505,26.125627,1.230772
bLRRIME-XGBOOST,xgboost,v1,0.028559,0.034286,0.971905,0.036297,0.028095,0.036297,0.987500,0.039528,0.954762,0.073128,0.963889,0.058267,0.946771,0.068804,0.974118,0.033491,3.700000,1.251666,20.026367,1.336861
bPSO-XGBOOST,xgboost,v1,0.030931,0.047330,0.971429,0.049943,0.028571,0.049943,0.971429,0.090351,0.971429,0.060234,0.975000,0.052705,0.947741,0.090328,0.970000,0.055444,7.500000,4.062019,25.652677,3.444389
bRIME-XGBOOST,xgboost,v1,0.034741,0.045651,0.965238,0.048305,0.034762,0.048305,0.985714,0.045175,0.942857,0.099887,0.955000,0.075277,0.935401,0.089248,0.967863,0.043236,3.400000,1.505545,14.612625,1.112916
bSADE-XGBOOST,xgboost,v1,0.046118,0.064984,0.957143,0.069007,0.042857,0.069007,0.985714,0.045175,0.928571,0.121405,0.941270,0.097000,0.920500,0.128287,0.960714,0.063442,10.700000,3.400980,25.339779,1.524495
bSHADE-XGBOOST,xgboost,v1,0.034365,0.047494,0.971429,0.049943,0.028571,0.049943,0.987500,0.039528,0.957143,0.096421,0.965278,0.076704,0.947741,0.090328,0.974167,0.044523,14.300000,4.877385,26.105481,1.518634
