Algorithm,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,F1_mean,F1_std,F1_min,F1_max,Specificity_mean,Specificity_std,Specificity_min,Specificity_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,NumFeatures_mean,NumFeatures_std,NumFeatures_min,NumFeatures_max,Time_mean,Time_std,Time_min,Time_max
bLRRIME-XGBOOST,0.961,0.0455,0.8571,1.0,0.9618,0.0617,0.7778,1.0,0.967,0.0651,0.7143,1.0,0.962,0.0451,0.8333,1.0,0.955,0.0734,0.7143,1.0,0.955,0.059,0.75,1.0,3.57,1.5193,1,10,15.6832,1.22,13.1252,19.6958
XGBOOST,0.713,0.104,0.4286,0.9286,0.7309,0.1212,0.5,1.0,0.7218,0.1602,0.375,1.0,0.7149,0.1107,0.4615,0.9333,0.7036,0.1633,0.2857,1.0,0.7934,0.1037,0.5102,1.0,99.0,0.0,99,99,0.0,0.0,0.0,0.0001
