Algorithm,Accuracy,Precision,Recall,F1,Specificity,ROC_AUC,NumFeatures,Time
bLRRIME-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,4,17.697274684906006
XGBOOST,0.9285714285714286,0.875,1.0,0.9333333333333333,0.8571428571428571,1.0,99,2.8133392333984375e-05
