Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bGWO-XGBOOST,xgboost,v1,0.034991,0.047172,0.964762,0.050155,0.035238,0.050155,1.000000,0.000000,0.928571,0.101015,0.941667,0.080932,0.935028,0.091098,0.968284,0.044616,3.000000,1.632993,14.509745,1.022599
bHHO-XGBOOST,xgboost,v1,0.049318,0.071876,0.950000,0.075668,0.050000,0.075668,0.957143,0.096421,0.942857,0.099887,0.948611,0.085879,0.905476,0.145307,0.950064,0.077678,3.600000,0.966092,24.930845,1.715580
bJADE-XGBOOST,xgboost,v1,0.041403,0.047705,0.964286,0.050508,0.035714,0.050508,0.971429,0.060234,0.957143,0.069007,0.960714,0.063442,0.931236,0.098992,0.964689,0.050272,14.800000,3.938415,26.062634,0.986555
bLRRIME-XGBOOST,xgboost,v1,0.035999,0.035398,0.964286,0.037646,0.035714,0.037646,0.957143,0.069007,0.971429,0.060234,0.975000,0.052705,0.933013,0.070611,0.963590,0.038562,4.100000,1.595131,19.852763,1.677414
bPSO-XGBOOST,xgboost,v1,0.039080,0.035644,0.964286,0.037646,0.035714,0.037646,0.985714,0.045175,0.942857,0.073771,0.950000,0.064550,0.933013,0.070611,0.965641,0.036346,10.200000,7.480345,26.525617,3.084132
bRIME-XGBOOST,xgboost,v1,0.042633,0.047304,0.957143,0.049943,0.042857,0.049943,0.930357,0.073603,0.985714,0.045175,0.985714,0.045175,0.917839,0.097710,0.955971,0.050792,3.800000,1.032796,14.617639,0.974344
bSADE-XGBOOST,xgboost,v1,0.034416,0.045728,0.971429,0.049943,0.028571,0.049943,0.973214,0.056626,0.971429,0.060234,0.973214,0.056626,0.944634,0.098250,0.972381,0.049068,14.400000,4.141927,25.488866,1.037234
bSHADE-XGBOOST,xgboost,v1,0.027380,0.031697,0.979048,0.033761,0.020952,0.033761,0.985714,0.045175,0.971429,0.060234,0.976389,0.049884,0.960492,0.063641,0.979759,0.032871,14.800000,7.177124,26.299276,1.168746
