Algorithm,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bGWO-XGBOOST,v1,0.035393,0.047949,0.964286,0.050508,0.035714,0.050508,0.985714,0.045175,0.938095,0.112351,0.955000,0.075277,0.932837,0.095149,0.967863,0.043236,2.900000,1.523884,14.516357,1.229315
bHHO-XGBOOST,v1,0.075455,0.066607,0.922381,0.070131,0.077619,0.070131,0.930357,0.099762,0.914286,0.099887,0.924206,0.084329,0.851745,0.134517,0.923095,0.070825,3.400000,1.074968,24.495607,1.190639
bJADE-XGBOOST,v1,0.034668,0.048800,0.971429,0.049943,0.028571,0.049943,0.971429,0.060234,0.971429,0.090351,0.977778,0.070273,0.947741,0.090328,0.972115,0.046766,14.900000,4.605552,26.311755,1.546463
bLRRIME-XGBOOST,v1,0.029365,0.047670,0.971429,0.049943,0.028571,0.049943,0.958929,0.066310,0.985714,0.045175,0.985714,0.045175,0.944634,0.098250,0.971355,0.050072,4.400000,3.438346,20.017993,1.705259
bPSO-XGBOOST,v1,0.039585,0.034954,0.964286,0.037646,0.035714,0.037646,0.957143,0.069007,0.971429,0.060234,0.975000,0.052705,0.933013,0.070611,0.963590,0.038562,11.200000,6.646637,27.822528,3.326247
bRIME-XGBOOST,v1,0.035193,0.047418,0.964762,0.050155,0.035238,0.050155,0.973214,0.056626,0.957143,0.069007,0.962103,0.061479,0.931921,0.098514,0.966499,0.048915,3.400000,1.264911,14.491413,0.933176
bSADE-XGBOOST,v1,0.052955,0.045962,0.950000,0.048211,0.050000,0.048211,0.957143,0.069007,0.940476,0.102409,0.954167,0.079125,0.907012,0.087932,0.951874,0.044870,10.800000,4.049691,25.421860,1.019685
bSHADE-XGBOOST,v1,0.042413,0.057136,0.964286,0.060703,0.035714,0.060703,0.957143,0.069007,0.971429,0.060234,0.971429,0.060234,0.929460,0.120856,0.963736,0.061085,16.800000,5.411921,26.574701,1.579905
