Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bLRRIME-KNN,knn,s1,0.160840,0.089924,0.855905,0.095093,0.144095,0.095093,0.873036,0.115947,0.836667,0.136168,0.858877,0.109528,0.719730,0.188259,0.860581,0.093138,47.420000,7.281053,1.935148,0.039275
bLRRIME-KNN,knn,s2,0.153615,0.085005,0.863048,0.089321,0.136952,0.089321,0.889643,0.104630,0.834048,0.141141,0.860760,0.108631,0.735223,0.175459,0.869596,0.084447,46.550000,6.092511,1.927262,0.057875
bLRRIME-KNN,knn,s3,0.149015,0.086406,0.866667,0.091394,0.133333,0.091394,0.897143,0.099542,0.834286,0.134641,0.859417,0.106254,0.740827,0.180484,0.873831,0.085776,44.250000,5.337830,1.912018,0.038719
bLRRIME-KNN,knn,s4,0.152110,0.088042,0.863095,0.093094,0.136905,0.093094,0.890714,0.103575,0.834048,0.135173,0.858106,0.105411,0.733824,0.183495,0.869978,0.087323,43.660000,5.101436,1.918383,0.051746
bLRRIME-KNN,knn,v1,0.059616,0.053327,0.938857,0.056269,0.061143,0.056269,0.947321,0.080397,0.930238,0.093003,0.941167,0.075954,0.884695,0.106276,0.940403,0.054788,3.030000,1.158674,1.689373,0.100349
bLRRIME-KNN,knn,v2,0.060239,0.058871,0.938143,0.062266,0.061857,0.062266,0.946964,0.079393,0.928333,0.096403,0.938984,0.077290,0.881760,0.119474,0.939951,0.060992,2.920000,1.404754,1.641007,0.137093
bLRRIME-KNN,knn,v3,0.062817,0.053324,0.935381,0.056349,0.064619,0.056349,0.952679,0.074491,0.917143,0.095507,0.930294,0.076812,0.877267,0.108133,0.937983,0.053845,2.830000,1.287508,1.607650,0.115646
bLRRIME-KNN,knn,v4,0.067392,0.059431,0.930619,0.062760,0.069381,0.062760,0.944464,0.082201,0.915714,0.094539,0.927897,0.078077,0.866976,0.121728,0.932826,0.061375,2.930000,3.172658,1.554477,0.132705
