Algorithm,Fold,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50
bLRRIME-KNN,1,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.277071,0.274545,0.274545,0.274545,0.274545,0.274545,0.274545,0.274545,0.274545,0.274545,0.274545
bLRRIME-KNN,2,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.161472,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947,0.158947
bLRRIME-KNN,3,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059,0.088059
bLRRIME-KNN,4,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.224278,0.224278,0.224278,0.224278,0.224278,0.224278,0.224278,0.224278,0.224278,0.223268,0.223268,0.223268,0.223268,0.223268,0.223268,0.223268,0.223268,0.223268
bLRRIME-KNN,5,0.359993,0.359993,0.359993,0.359993,0.297186,0.297186,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641,0.292641
bLRRIME-KNN,6,0.158442,0.158442,0.158442,0.158442,0.158442,0.158442,0.158442,0.158442,0.158442,0.099675,0.099675,0.099675,0.099675,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130
bLRRIME-KNN,7,0.290115,0.290115,0.290115,0.290115,0.290115,0.290115,0.290115,0.290115,0.229834,0.229834,0.229834,0.229834,0.229834,0.229834,0.229834,0.229834,0.229834,0.229834,0.229834,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299
bLRRIME-KNN,8,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.167532,0.163492,0.163492,0.163492,0.163492,0.163492,0.163492,0.163492,0.163492,0.163492,0.163492,0.163492,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.162482,0.161977,0.161977,0.161977,0.161977,0.161977,0.161977,0.161977,0.161977,0.161977,0.161977,0.161977
bLRRIME-KNN,9,0.293146,0.293146,0.232864,0.232864,0.232864,0.232864,0.232864,0.230339,0.230339,0.230339,0.230339,0.230339,0.230339,0.230339,0.230339,0.230339,0.230339,0.230339,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773,0.223773
bLRRIME-KNN,10,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.092605,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.090079,0.090079,0.090079,0.090079,0.090079,0.090079,0.090079
