Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bLRRIME-CART,cart,v1,0.042381,0.047385,0.844286,0.128915,0.155714,0.128915,0.819643,0.157586,0.871429,0.157215,0.876429,0.144408,0.700132,0.255166,0.839634,0.131747,3.300000,1.159502,1.832103,0.221874
bLRRIME-KNN,knn,v1,0.068869,0.063759,0.929048,0.067360,0.070952,0.067360,0.942857,0.099887,0.914286,0.099887,0.925595,0.083539,0.865818,0.127809,0.929713,0.068897,2.900000,0.994429,1.682019,0.135635
bLRRIME-MLP,mlp,v1,0.063445,0.074472,0.864762,0.079053,0.135238,0.079053,0.846429,0.121464,0.883333,0.113606,0.894048,0.098845,0.740504,0.157372,0.863413,0.080722,4.700000,2.907844,106.670909,13.114183
bLRRIME-RF,rf,v1,0.062284,0.067503,0.864762,0.092288,0.135238,0.092288,0.858929,0.095405,0.871429,0.157215,0.887500,0.130363,0.739770,0.182144,0.866538,0.085723,2.400000,0.699206,84.555610,3.938245
bLRRIME-SVM,svm,v1,0.129537,0.067782,0.864762,0.071524,0.135238,0.071524,0.785714,0.138832,0.940476,0.077152,0.941111,0.080132,0.747157,0.139746,0.849774,0.087275,2.100000,0.737865,1.458090,0.075644
bLRRIME-XGBOOST,xgboost,v1,0.055700,0.053431,0.942857,0.056344,0.057143,0.056344,0.928571,0.075292,0.957143,0.069007,0.958929,0.066310,0.889267,0.111776,0.941685,0.056770,2.800000,1.316561,18.959915,2.002029
