Fold,Algorithm,Classifier,Dataset,TransferFunction,Alpha,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures,BestSolution,Convergence,Run
4,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.14140786749482398,115.43278121948242,0.855072463768116,0.14492753623188404,0.8709677419354839,0.8709677419354839,0.8421052631578947,0.8181818181818182,0.84375,0.7100655138115137,0.883276740237691,"[[32,6],
 [4,27]]","[32, 6, 4, 27]","(2, 2)",4,[0 0 0 1 0 1 0 1 0 1 0 0 0 0],"[0.17515528 0.15533126 0.15372671 0.15372671 0.15212215 0.14140787
 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787
 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787
 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787
 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787
 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787
 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787
 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787 0.14140787
 0.14140787 0.14140787]",6
5,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.10284679089026919,127.36426520347595,0.927536231884058,0.07246376811594202,0.9354838709677419,0.9354838709677419,0.9210526315789473,0.90625,0.9206349206349206,0.8543634677495334,0.9227504244482174,"[[35,3],
 [2,29]]","[35, 3, 2, 29]","(2, 2)",5,[1 0 0 0 0 0 0 1 0 0 0 1 1 1],"[0.14140787 0.10445135 0.10445135 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679]",6
6,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.09052795031055899,127.47103190422058,0.9130434782608695,0.08695652173913049,0.9032258064516129,0.9032258064516129,0.9210526315789473,0.9032258064516129,0.9032258064516129,0.8242784380305602,0.9588285229202038,"[[35,3],
 [3,28]]","[35, 3, 3, 28]","(2, 2)",5,[0 0 0 1 0 1 0 1 0 0 0 1 1 0],"[0.1505176  0.1505176  0.13819876 0.12587992 0.12587992 0.12587992
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.09052795 0.09052795 0.09052795
 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795
 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795
 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795
 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795
 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795
 0.09052795 0.09052795]",6
7,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.10445134575569358,127.70181488990784,0.8840579710144928,0.1159420289855072,0.8387096774193549,0.8387096774193549,0.9210526315789473,0.896551724137931,0.8666666666666667,0.7656343248853564,0.9219015280135823,"[[35,3],
 [5,26]]","[35, 3, 5, 26]","(2, 2)",4,[0 0 0 0 1 0 0 1 1 0 0 0 1 0],"[0.16444099 0.13980331 0.13980331 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135]",6
8,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.10445134575569358,131.30368494987488,0.927536231884058,0.07246376811594202,0.9354838709677419,0.9354838709677419,0.9210526315789473,0.90625,0.9206349206349206,0.8543634677495334,0.9278438030560272,"[[35,3],
 [2,29]]","[35, 3, 2, 29]","(2, 2)",4,[0 0 1 0 0 1 0 1 0 0 0 0 1 0],"[0.12908903 0.12908903 0.11837474 0.11837474 0.11837474 0.11677019
 0.11677019 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135 0.10445135
 0.10445135 0.10445135]",6
9,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.05998964803312633,100.15089774131775,0.9420289855072463,0.05797101449275366,0.9354838709677419,0.9354838709677419,0.9473684210526315,0.9354838709677419,0.9354838709677419,0.8828522920203735,0.9414261460101868,"[[36,2],
 [2,29]]","[36, 2, 2, 29]","(2, 2)",1,[0 0 0 0 0 0 0 1 0 0 0 0 0 0],"[0.12748447 0.11677019 0.11677019 0.10445135 0.05998965 0.05998965
 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965
 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965
 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965
 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965
 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965
 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965
 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965 0.05998965
 0.05998965 0.05998965]",6
10,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.07230848861283642,123.81305170059204,0.927536231884058,0.07246376811594202,0.967741935483871,0.967741935483871,0.8947368421052632,0.8823529411764706,0.9230769230769231,0.8581191265318578,0.9312393887945671,"[[34,4],
 [1,30]]","[34, 4, 1, 30]","(2, 2)",1,[0 0 0 0 0 0 0 1 0 0 0 0 0 0],"[0.11516563 0.1060559  0.10124224 0.10124224 0.10124224 0.10124224
 0.10124224 0.10124224 0.10124224 0.10124224 0.10124224 0.09052795
 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795 0.09052795
 0.09052795 0.09052795 0.09052795 0.09052795 0.08302277 0.08302277
 0.08302277 0.08302277 0.07230849 0.07230849 0.07230849 0.07230849
 0.07230849 0.07230849 0.07230849 0.07230849 0.07230849 0.07230849
 0.07230849 0.07230849 0.07230849 0.07230849 0.07230849 0.07230849
 0.07230849 0.07230849 0.07230849 0.07230849 0.07230849 0.07230849
 0.07230849 0.07230849]",6
1,bPSO-V1-RF-0_90,rf,australian,v1,0.9,0.09378881987577639,131.34008765220642,0.9130434782608695,0.08695652173913049,0.9,0.9,0.9230769230769231,0.9,0.9,0.823076923076923,0.9495726495726496,"[[36,3],
 [3,27]]","[36, 3, 3, 27]","(2, 2)",4,[0 0 0 0 0 0 0 1 0 0 0 1 1 1],"[0.14006211 0.11397516 0.10807453 0.10807453 0.10807453 0.10807453
 0.10093168 0.10093168 0.09378882 0.09378882 0.09378882 0.09378882
 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882
 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882
 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882
 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882
 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882
 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882 0.09378882
 0.09378882 0.09378882]",6
2,bPSO-V1-RF-0_90,rf,australian,v1,0.9,0.14596273291925468,121.5983407497406,0.855072463768116,0.14492753623188404,0.7666666666666667,0.7666666666666667,0.9230769230769231,0.8846153846153846,0.8214285714285714,0.7056018358367591,0.8277777777777778,"[[36,3],
 [7,23]]","[36, 3, 7, 23]","(2, 2)",4,[0 0 0 0 1 0 0 0 0 1 1 0 0 1],"[0.2052795  0.2052795  0.18509317 0.18509317 0.17795031 0.17795031
 0.17795031 0.17795031 0.17795031 0.17795031 0.17795031 0.17795031
 0.16490683 0.16490683 0.16490683 0.15900621 0.15900621 0.15900621
 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273
 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273
 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273
 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273
 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273 0.14596273
 0.14596273 0.14596273]",6
3,bPSO-V1-RF-0_90,rf,australian,v1,0.9,0.08074534161490686,131.11399698257446,0.927536231884058,0.07246376811594202,0.9333333333333333,0.9333333333333333,0.9230769230769231,0.9032258064516129,0.9180327868852459,0.853497287914844,0.9662393162393162,"[[36,3],
 [2,28]]","[36, 3, 2, 28]","(2, 2)",4,[0 0 1 0 0 0 0 1 1 0 0 0 1 0],"[0.14006211 0.14006211 0.14006211 0.14006211 0.14006211 0.12826087
 0.12826087 0.10093168 0.10093168 0.10093168 0.10093168 0.10093168
 0.10093168 0.10093168 0.10093168 0.0878882  0.0878882  0.0878882
 0.0878882  0.0878882  0.0878882  0.0878882  0.0878882  0.0878882
 0.0878882  0.0878882  0.0878882  0.0878882  0.0878882  0.0878882
 0.0878882  0.0878882  0.0878882  0.0878882  0.0878882  0.0878882
 0.0878882  0.0878882  0.0878882  0.0878882  0.08074534 0.08074534
 0.08074534 0.08074534 0.08074534 0.08074534 0.08074534 0.08074534
 0.08074534 0.08074534]",6
