Algorithm,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,F1_mean,F1_std,F1_min,F1_max,Specificity_mean,Specificity_std,Specificity_min,Specificity_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,NumFeatures_mean,NumFeatures_std,NumFeatures_min,NumFeatures_max,Time_mean,Time_std,Time_min,Time_max
bLRRIME-XGBOOST,0.9701,0.0419,0.8571,1.0,0.9712,0.0554,0.7778,1.0,0.9736,0.0549,0.8571,1.0,0.9708,0.0411,0.8571,1.0,0.9669,0.0642,0.7143,1.0,0.9605,0.0627,0.7347,1.0,4.21,1.9914,1,13,20.3168,1.52,16.4146,24.0025
bRIME-XGBOOST,0.9605,0.055,0.7857,1.0,0.9656,0.0623,0.75,1.0,0.9614,0.0752,0.625,1.0,0.9611,0.0548,0.7692,1.0,0.9593,0.0755,0.6667,1.0,0.9506,0.0755,0.7188,1.0,3.46,1.4663,1,10,14.5345,1.097,10.7124,16.7694
bHHO-XGBOOST,0.9361,0.0629,0.7857,1.0,0.9374,0.0782,0.75,1.0,0.9448,0.0838,0.7143,1.0,0.9377,0.062,0.7692,1.0,0.9274,0.093,0.7143,1.0,0.9229,0.0848,0.6735,1.0,3.6,1.2391,1,7,25.0454,1.9345,19.0276,29.9229
bGWO-XGBOOST,0.9603,0.0487,0.8571,1.0,0.9651,0.0633,0.7778,1.0,0.9625,0.0653,0.7143,1.0,0.9614,0.0471,0.8333,1.0,0.9576,0.0791,0.6667,1.0,0.9579,0.0622,0.7551,1.0,3.15,1.3133,1,7,14.6852,1.1137,11.8119,17.0402
bJADE-XGBOOST,0.9612,0.0472,0.8,1.0,0.9641,0.0636,0.7778,1.0,0.9655,0.0727,0.625,1.0,0.9617,0.0475,0.7692,1.0,0.9569,0.0777,0.7143,1.0,0.9467,0.07,0.7551,1.0,14.68,4.909,6,34,26.193,1.3269,21.8988,29.611
bSADE-XGBOOST,0.9616,0.0511,0.7857,1.0,0.9656,0.0665,0.75,1.0,0.9634,0.0654,0.7143,1.0,0.9622,0.0499,0.8,1.0,0.9598,0.0792,0.7143,1.0,0.9506,0.0704,0.7347,1.0,12.59,4.9321,4,28,25.4715,1.3404,21.672,28.1442
bSHADE-XGBOOST,0.9653,0.0495,0.7857,1.0,0.9722,0.0605,0.75,1.0,0.9638,0.0648,0.7143,1.0,0.966,0.0481,0.8,1.0,0.9667,0.0736,0.7143,1.0,0.9517,0.0776,0.6122,1.0,14.48,5.6791,6,32,26.0432,1.3128,22.8674,28.8987
bPSO-XGBOOST,0.9623,0.0501,0.7857,1.0,0.9688,0.0591,0.7778,1.0,0.9607,0.0774,0.7143,1.0,0.9621,0.0517,0.7692,1.0,0.9638,0.0693,0.7143,1.0,0.9491,0.0686,0.7347,1.0,9.93,6.3679,1,30,26.6484,3.1151,19.5744,34.4529
