Algorithm,Accuracy,Precision,Recall,F1,Specificity,ROC_AUC,NumFeatures,Time
bLRRIME-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,6,23.793145418167114
bRIME-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,3,14.360210418701172
bHHO-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,3,25.88914704322815
bGWO-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,4,15.197436809539795
bJADE-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,17,27.297163248062134
bSADE-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,11,27.55752682685852
bSHADE-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,17,26.888555765151978
bPSO-XGBOOST,1.0,1.0,1.0,1.0,1.0,1.0,11,26.795893907546997
