Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.147879,1.882889,0.866667,0.133333,1.000000,1.000000,0.714286,0.800000,0.888889,0.755929,0.839286,"[[5,2],
 [0,8]]","[5, 2, 0, 8]","(2, 2)",42
2,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.025253,1.911473,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",50
3,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.228319,1.905891,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.826531,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",49
4,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.087049,1.878874,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",38
5,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.025758,1.932472,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",51
6,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.027273,1.916321,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",54
7,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.359488,1.891426,0.642857,0.357143,0.714286,0.714286,0.571429,0.625000,0.666667,0.288675,0.683673,"[[4,3],
 [2,5]]","[4, 3, 2, 5]","(2, 2)",40
8,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.224278,1.910496,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.775510,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",41
9,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.292641,1.900638,0.714286,0.285714,0.857143,0.857143,0.571429,0.666667,0.750000,0.447214,0.581633,"[[4,3],
 [1,6]]","[4, 3, 1, 6]","(2, 2)",42
10,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.160967,1.898953,0.857143,0.142857,0.875000,0.875000,0.833333,0.875000,0.875000,0.708333,0.843750,"[[5,1],
 [1,7]]","[5, 1, 1, 7]","(2, 2)",50
