Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.214242,1.962021,0.800000,0.200000,0.875000,0.875000,0.714286,0.777778,0.823529,0.600099,0.830357,"[[5,2],
 [1,7]]","[5, 2, 1, 7]","(2, 2)",48
2,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.085534,1.902696,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.938776,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",35
3,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.158442,1.893006,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.826531,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",45
4,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.222763,1.868608,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.653061,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",38
5,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.085029,1.876409,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",34
6,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.089069,1.899264,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",42
7,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.093110,1.883287,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",50
8,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.156926,1.895609,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.836735,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",42
9,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.026768,1.879898,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",53
10,bLRRIME-KNN,knn,PulmonaryHypertension,s3,0.291126,1.884001,0.714286,0.285714,0.625000,0.625000,0.833333,0.833333,0.714286,0.458333,0.750000,"[[5,1],
 [3,5]]","[5, 1, 3, 5]","(2, 2)",39
