Algorithm,Accuracy_Mean,Accuracy_Std,Accuracy_Best,Precision_Mean,Precision_Std,Precision_Best,Recall_Mean,Recall_Std,Recall_Best,F1_Mean,F1_Std,F1_Best,Specificity_Mean,Specificity_Std,Specificity_Best,MCC_Mean,MCC_Std,MCC_Best,ROC_AUC_Mean,ROC_AUC_Std,ROC_AUC_Best,NumFeatures_Mean,NumFeatures_Std,NumFeatures_Best,Time_Mean,Time_Std,Time_Best
bPSO-V1-RF-0_85,0.9059420289855074,0.032926040840186195,0.9710144927536232,0.8904243161054669,0.04858472096494082,0.7317073170731707,0.9028817204301076,0.0558667285799792,0.7419354838709677,0.8950441913944006,0.03692236347734612,0.9666666666666667,0.9082928475033737,0.04689027247839176,0.7105263157894737,0.8123229105592646,0.06577843667118441,0.941025641025641,0.9318542437566206,0.03366464199455646,0.9881154499151104,4.17,1.4978435677784758,1,126.50703097105026,10.779185704883721,88.56245112419128
bPSO-V1-RF-0_90,0.9097101449275362,0.03262568889836337,0.9710144927536232,0.8968394543441608,0.04911244929799925,0.7837837837837838,0.9047956989247313,0.06113653177964212,0.6666666666666666,0.8988413241361164,0.037675427806465565,0.967741935483871,0.913434547908232,0.04707158786773427,0.7894736842105263,0.8201763481896563,0.06497757174746799,0.9430922950184023,0.9307541465325846,0.037296823391330274,0.9966044142614601,4.58,1.4507399714099232,1,129.04241936683655,11.696780389956995,87.05268239974976
bPSO-V1-RF-0_95,0.9117391304347828,0.033853734359303535,0.9855072463768116,0.8990269110638965,0.05078499535557463,0.78125,0.9064301075268818,0.05460147981929179,0.7,0.9012100974260189,0.038336864494651096,0.9836065573770492,0.9159176788124157,0.04597044925139759,0.8157894736842105,0.8236898513204516,0.06796818570773253,0.9710448185857506,0.9368536488035639,0.03410675598723021,0.9970288624787776,5.69,1.5088627063675033,1,134.41361942052842,8.226822770733277,89.72804379463196
bPSO-V1-RF-0_99,0.9131884057971016,0.035229585468600305,0.9855072463768116,0.9027342042513432,0.05310250685898637,0.7631578947368421,0.9061720430107529,0.06156810824238978,0.7096774193548387,0.9025312536297938,0.04055372282158006,0.9836065573770492,0.9187719298245612,0.04901640092799628,0.7631578947368421,0.8271400486139386,0.07049750984089273,0.9710448185857506,0.9384388867122314,0.03513055468393669,0.9940577249575552,5.67,1.5377735446896836,1,134.60698071718215,8.737331496929846,93.1240177154541
