Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bLRRIME-CART,cart,v1,0.029791,0.038266,0.912048,0.083460,0.087952,0.083460,0.915536,0.107618,0.907857,0.120347,0.920773,0.097833,0.831899,0.163008,0.913514,0.083352,3.990000,2.328979,1.851734,0.222271
bLRRIME-KNN,knn,v1,0.062195,0.056905,0.936143,0.060124,0.063857,0.060124,0.948571,0.078856,0.922857,0.093852,0.934254,0.077167,0.878002,0.116482,0.938241,0.059147,3.030000,1.520599,1.693032,0.124838
bLRRIME-MLP,mlp,v1,0.061366,0.052305,0.875000,0.081774,0.125000,0.081774,0.863929,0.108243,0.885952,0.124447,0.899365,0.101800,0.759145,0.162654,0.875583,0.079936,5.330000,6.595154,103.238241,17.393436
bLRRIME-RF,rf,v1,0.043756,0.049579,0.895667,0.068021,0.104333,0.068021,0.889821,0.099604,0.900952,0.110269,0.913897,0.091203,0.800190,0.134299,0.896227,0.067495,2.350000,0.808728,82.737565,5.508591
bLRRIME-SVM,svm,v1,0.109688,0.068323,0.885762,0.071994,0.114238,0.071994,0.874821,0.113550,0.896667,0.113317,0.909865,0.094111,0.783038,0.139424,0.885273,0.074055,2.300000,1.039619,1.477593,0.120763
bLRRIME-XGBOOST,xgboost,v1,0.037932,0.041995,0.961714,0.044392,0.038286,0.044392,0.967679,0.062876,0.955000,0.070573,0.961690,0.059510,0.927272,0.085180,0.962550,0.044145,3.090000,1.356578,17.339025,1.586350
