Algorithm,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bLRRIME-KNN,s1,0.173229,0.124570,0.843810,0.133989,0.156190,0.133989,0.846429,0.154349,0.840476,0.170976,0.858214,0.140985,0.695976,0.264072,0.846453,0.133530,49.200000,7.786027,1.926801,0.022955
bLRRIME-KNN,s2,0.151054,0.115893,0.865238,0.123464,0.134762,0.123464,0.901786,0.117021,0.826190,0.161893,0.853214,0.131534,0.735781,0.244107,0.874026,0.115948,45.600000,5.081557,1.936901,0.056694
bLRRIME-KNN,s3,0.157890,0.118043,0.858095,0.126024,0.141905,0.126024,0.901786,0.117021,0.811905,0.165129,0.842500,0.135483,0.722088,0.249234,0.868312,0.118257,45.700000,5.638164,1.902943,0.016072
bLRRIME-KNN,s4,0.144824,0.121670,0.872381,0.129456,0.127619,0.129456,0.903571,0.116399,0.840476,0.170976,0.865278,0.140888,0.749907,0.255253,0.881090,0.121264,46.700000,6.147267,1.900961,0.023979
bLRRIME-KNN,v1,0.055298,0.053116,0.943333,0.056229,0.056667,0.056229,0.930357,0.073603,0.957143,0.069007,0.958929,0.066310,0.890165,0.111605,0.942711,0.056489,2.900000,1.197219,1.682180,0.102168
bLRRIME-KNN,v2,0.062587,0.080543,0.935714,0.085516,0.064286,0.085516,0.987500,0.039528,0.885714,0.175610,0.915000,0.124276,0.886299,0.147100,0.944706,0.070744,3.000000,2.403701,1.629309,0.189656
bLRRIME-KNN,v3,0.062185,0.058995,0.936190,0.062500,0.063810,0.062500,0.957143,0.069007,0.914286,0.073771,0.921032,0.068686,0.874778,0.124790,0.937927,0.062399,3.100000,1.911951,1.533710,0.158569
bLRRIME-KNN,v4,0.063346,0.074369,0.936190,0.078574,0.063810,0.078574,0.942857,0.099887,0.928571,0.101015,0.937103,0.089019,0.877589,0.152525,0.936499,0.078716,5.400000,9.430447,1.550611,0.199031
