Algorithm,Classifier,TransferFunction,BestFitness_mean,BestFitness_std,Accuracy_mean,Accuracy_std,Error_mean,Error_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,MCC_mean,MCC_std,F1_mean,F1_std,NumFeatures_mean,NumFeatures_std,Time_mean,Time_std
bGWO-XGBOOST,xgboost,v1,0.021569,0.032526,0.978571,0.034503,0.021429,0.034503,0.985714,0.045175,0.971429,0.060234,0.975000,0.052705,0.959808,0.064716,0.978974,0.033969,2.400000,1.074968,14.646323,0.971497
bHHO-XGBOOST,xgboost,v1,0.069071,0.078080,0.929048,0.082492,0.070952,0.082492,0.914286,0.138013,0.942857,0.073771,0.943889,0.076093,0.865021,0.159613,0.924374,0.096620,3.300000,1.418136,24.965691,1.051849
bJADE-XGBOOST,xgboost,v1,0.041001,0.047101,0.964762,0.050155,0.035238,0.050155,0.944643,0.071651,0.985714,0.045175,0.985714,0.045175,0.932134,0.098374,0.963663,0.051081,14.900000,8.900062,25.835877,1.135987
bLRRIME-XGBOOST,xgboost,v1,0.022024,0.032562,0.978571,0.034503,0.021429,0.034503,0.985714,0.045175,0.971429,0.060234,0.975000,0.052705,0.959808,0.064716,0.978974,0.033969,3.300000,1.159502,19.688680,1.579287
bRIME-XGBOOST,xgboost,v1,0.049116,0.055774,0.950000,0.058805,0.050000,0.058805,0.973214,0.056626,0.928571,0.101015,0.938492,0.083804,0.905772,0.111322,0.953214,0.055254,3.200000,1.398412,14.567141,1.426643
bSADE-XGBOOST,xgboost,v1,0.033304,0.048330,0.971429,0.049943,0.028571,0.049943,0.971429,0.060234,0.971429,0.060234,0.973214,0.056626,0.944634,0.098250,0.971355,0.050072,12.200000,5.245104,25.338370,0.700590
bSHADE-XGBOOST,xgboost,v1,0.048343,0.034146,0.957619,0.036504,0.042381,0.036504,0.946429,0.069416,0.971429,0.060234,0.975000,0.052705,0.920513,0.068466,0.957949,0.036407,16.000000,6.110101,26.830672,1.499299
