Algorithm,Accuracy (Mean±Std),Precision (Mean±Std),Recall (Mean±Std),F1 (Mean±Std),Specificity (Mean±Std),ROC_AUC (Mean±Std)
bLRRIME-XGBOOST,0.9723±0.0390,0.9703±0.0555,0.9791±0.0501,0.9731±0.0379,0.9652±0.0655,0.9589±0.0636
bRIME-XGBOOST,0.9569±0.0480,0.9590±0.0656,0.9621±0.0659,0.9581±0.0468,0.9507±0.0802,0.9455±0.0683
bHHO-XGBOOST,0.9354±0.0702,0.9407±0.0788,0.9364±0.0957,0.9356±0.0729,0.9352±0.0851,0.9276±0.0877
bGWO-XGBOOST,0.9652±0.0469,0.9647±0.0621,0.9720±0.0600,0.9663±0.0457,0.9579±0.0751,0.9572±0.0643
bJADE-XGBOOST,0.9611±0.0515,0.9683±0.0620,0.9598±0.0695,0.9618±0.0505,0.9619±0.0774,0.9510±0.0719
bSADE-XGBOOST,0.9619±0.0525,0.9647±0.0635,0.9645±0.0715,0.9624±0.0528,0.9598±0.0738,0.9535±0.0682
bSHADE-XGBOOST,0.9575±0.0523,0.9622±0.0717,0.9605±0.0637,0.9587±0.0495,0.9540±0.0908,0.9386±0.0763
