Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.064343,105.621756,0.933333,0.066667,1.000000,1.000000,0.857143,0.888889,0.941176,0.872872,0.910714,"[[6,1],
 [0,8]]","[6, 1, 0, 8]","(2, 2)",2
2,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.001515,98.752807,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
3,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.001515,86.336390,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
4,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.070382,104.105839,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.938776,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",5
5,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.073918,136.582569,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.897959,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",12
6,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069372,91.731438,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.918367,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",3
7,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.071392,119.638091,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.897959,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",7
8,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.003030,124.631801,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.959184,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",6
9,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.205592,96.208836,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.653061,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",4
10,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069877,101.542349,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.937500,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",4
